City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Weather
203,Ganzhou,CN,2022-05-14 22:18:32,28.8184,115.4327,57.11,91,100,4.79,light rain
204,Dhidhdhoo,MV,2022-05-14 22:14:39,6.8833,73.1,81.25,79,100,20.89,light rain
205,Khingansk,RU,2022-05-14 22:18:34,49.1167,131.1833,38.8,88,100,9.98,overcast clouds
206,Aksu,CN,2022-05-14 22:18:34,41.1231,80.2644,64.15,45,65,3.51,broken clouds
207,General Roca,AR,2022-05-14 22:18:35,-39.0333,-67.5833,50.63,31,0,5.7,clear sky
208,Sitka,US,2022-05-14 22:11:13,57.0531,-135.33,48.09,66,75,8.05,broken clouds
209,Pirgos,GR,2022-05-14 22:18:37,35.1167,25.7178,64.62,73,0,3.83,clear sky
210,Mahajanga,MG,2022-05-14 22:15:25,-15.7167,46.3167,71.62,78,20,2.3,few clouds
211,Vanavara,RU,2022-05-14 22:18:38,60.34,102.2797,48.54,65,3,1.86,clear sky
212,Ahipara,NZ,2022-05-14 22:13:10,-35.1667,173.1667,65.71,74,53,9.24,broken clouds
213,Luena,AO,2022-05-14 22:18:39,-11.7833,19.9167,59.14,60,0,3.76,clear sky
214,Anchorage,US,2022-05-14 22:15:07,61.2181,-149.9003,53.65,54,75,10.36,shower rain
215,Athabasca,CA,2022-05-14 22:18:40,54.7169,-113.2854,61.21,45,100,11.21,overcast clouds
216,Padang,ID,2022-05-14 22:18:41,-0.9492,100.3543,78.44,85,7,3.02,clear sky
217,Kodiak,US,2022-05-14 22:03:47,57.79,-152.4072,42.12,70,100,16.31,overcast clouds
218,Ahuimanu,US,2022-05-14 22:18:43,21.4447,-157.8378,83.91,61,40,14.97,scattered clouds
219,Durango,MX,2022-05-14 22:15:32,24.8333,-104.8333,87.62,12,73,11.07,broken clouds
220,Galesong,ID,2022-05-14 22:18:43,-5.3166,119.3661,75.22,83,100,4.38,overcast clouds
221,Kaitangata,NZ,2022-05-14 22:18:44,-46.2817,169.8464,47.93,76,79,3.4,broken clouds
222,Conchas,BR,2022-05-14 22:18:45,-23.0153,-48.0106,68.68,63,78,4.63,broken clouds
